measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_s,s,80,MiaoSCIS2026,ProofGen,5,10,80,690,3907,0.271260055,0.00571565,3,True
protocol_execution,vary_s,s,80,MiaoSCIS2026,Verify,5,10,80,690,3907,0.541191972,0.018292304,3,True
protocol_execution,vary_s,s,80,MiaoSCIS2026,Audit,5,10,80,690,3907,0.817969278,0.01310242,3,True
protocol_execution,vary_s,s,80,XuTIFS26,Store,5,10,80,690,3907,3.316990278,0.013894885,3,True
protocol_execution,vary_s,s,80,XuTIFS26,Challenge,5,10,80,690,3907,0.002441264,0.000108702,3,True
protocol_execution,vary_s,s,80,XuTIFS26,ProofGen,5,10,80,690,3907,0.341399208,0.021820033,3,True
protocol_execution,vary_s,s,80,XuTIFS26,Verify,5,10,80,690,3907,0.352322778,0.009051443,3,True
protocol_execution,vary_s,s,80,XuTIFS26,Audit,5,10,80,690,3907,0.696163249,0.030754521,3,True
protocol_execution,vary_s,s,80,FoldAudit,Store,5,10,80,690,3907,3.395995528,0.071695674,3,True
protocol_execution,vary_s,s,80,FoldAudit,Challenge,5,10,80,690,3907,0.000934611,2.5231e-05,3,True
protocol_execution,vary_s,s,80,FoldAudit,ProofGen,5,10,80,690,3907,0.401428986,0.013927985,3,True
protocol_execution,vary_s,s,80,FoldAudit,Verify,5,10,80,690,3907,0.363699681,0.007181663,3,True
protocol_execution,vary_s,s,80,FoldAudit,Audit,5,10,80,690,3907,0.766063278,0.021033929,3,True
protocol_execution,vary_s,s,100,YuTC25,Store,5,10,100,690,3125,2.853509931,0.014685767,3,True
protocol_execution,vary_s,s,100,YuTC25,Challenge,5,10,100,690,3125,0.011476819,0.000249419,3,True
protocol_execution,vary_s,s,100,YuTC25,ProofGen,5,10,100,690,3125,0.367563583,0.012545424,3,True
protocol_execution,vary_s,s,100,YuTC25,Verify,5,10,100,690,3125,0.439425083,0.017127225,3,True
protocol_execution,vary_s,s,100,YuTC25,Audit,5,10,100,690,3125,0.818465486,0.013602073,3,True
protocol_execution,vary_s,s,100,ZhangTPDS23,Store,5,10,100,690,3125,5.124975153,0.059195517,3,True
protocol_execution,vary_s,s,100,ZhangTPDS23,Challenge,5,10,100,690,3125,0.010927944,0.000236116,3,True
protocol_execution,vary_s,s,100,ZhangTPDS23,ProofGen,5,10,100,690,3125,0.657240139,0.021311246,3,True
protocol_execution,vary_s,s,100,ZhangTPDS23,Verify,5,10,100,690,3125,0.841327486,0.006187927,3,True
protocol_execution,vary_s,s,100,ZhangTPDS23,Audit,5,10,100,690,3125,1.50949557,0.027584516,3,True
protocol_execution,vary_s,s,100,MiaoSCIS2026,Store,5,10,100,690,3125,3.700791083,0.003794065,3,True
protocol_execution,vary_s,s,100,MiaoSCIS2026,Challenge,5,10,100,690,3125,0.005496153,2.4118e-05,3,True
protocol_execution,vary_s,s,100,MiaoSCIS2026,ProofGen,5,10,100,690,3125,0.270346139,0.004131191,3,True
protocol_execution,vary_s,s,100,MiaoSCIS2026,Verify,5,10,100,690,3125,0.5425795,0.015064905,3,True
protocol_execution,vary_s,s,100,MiaoSCIS2026,Audit,5,10,100,690,3125,0.818421791,0.013879064,3,True
protocol_execution,vary_s,s,100,XuTIFS26,Store,5,10,100,690,3125,2.88732893,0.043701855,3,True
protocol_execution,vary_s,s,100,XuTIFS26,Challenge,5,10,100,690,3125,0.002426153,8.0399e-05,3,True
protocol_execution,vary_s,s,100,XuTIFS26,ProofGen,5,10,100,690,3125,0.408630653,0.003910283,3,True
protocol_execution,vary_s,s,100,XuTIFS26,Verify,5,10,100,690,3125,0.348983097,0.020049253,3,True
protocol_execution,vary_s,s,100,XuTIFS26,Audit,5,10,100,690,3125,0.760039902,0.022358876,3,True
protocol_execution,vary_s,s,100,FoldAudit,Store,5,10,100,690,3125,3.389190403,0.603766177,3,True
protocol_execution,vary_s,s,100,FoldAudit,Challenge,5,10,100,690,3125,0.001037111,3.9053e-05,3,True
protocol_execution,vary_s,s,100,FoldAudit,ProofGen,5,10,100,690,3125,0.496589347,0.003229667,3,True
protocol_execution,vary_s,s,100,FoldAudit,Verify,5,10,100,690,3125,0.370892972,0.007289927,3,True
protocol_execution,vary_s,s,100,FoldAudit,Audit,5,10,100,690,3125,0.86851943,0.009864518,3,True
